,AA56D,AC17D,AJ05D,AQ59D,AW59D,AY63D,BS34D,BY74D,,,,,
Fold 1,0.9218,0.9218,0.9172,0.9172,0.9195,0.9195,0.9172,0.9218,,,,,
Fold 2,0.9126,0.9218,0.9218,0.9264,0.9172,0.9195,0.9195,0.9195,,,,,
Fold 3,0.892,0.8989,0.9034,0.9011,0.8989,0.8989,0.908,0.9195,,,,,
Fold 4,0.9402,0.9494,0.9563,0.9448,0.9471,0.9517,0.9494,0.9011,,,,,
Fold 5,0.9287,0.9287,0.9333,0.9356,0.9379,0.931,0.9356,0.9287,,,,,
Fold 6,0.9032,0.894,0.894,0.9078,0.9009,0.8986,0.8917,0.9032,,,,,
Fold 7,0.9055,0.9055,0.9055,0.8986,0.9009,0.9078,0.9078,0.9001,,,,,
Fold 8,0.8802,0.8802,0.8848,0.8871,0.8825,0.8848,0.8825,0.8825,,,,,
Fold 9,0.9009,0.8986,0.9009,0.8986,0.9009,0.9055,0.9009,0.9009,,,,,
Fold 10,0.9378,0.9309,0.9286,0.9309,0.9309,0.9308,0.9309,0.9355,,,,,
Mean,0.91229,0.91298,0.91458,0.91481,0.91367,0.91481,0.91435,0.91128,,,,,
Std,0.019690576,0.020939054,0.021217173,0.01903514,0.020349504,0.019649623,0.020494403,0.016213218,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,